title,date,category,link
McMinnville Woman Charged with Stealing from Vulnerable Adult,"December 14, 2023",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/mcminnville-woman-charged-with-stealing-from-vulnerable-adult/
District Woman Indicted for Defrauding the D.C. Medicaid Program,"December 13, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/district-woman-indicted-for-defrauding-the-dc-medicaid-program/
Man Sentenced for $11.4M Medicare and Medicaid Fraud Scheme,"December 13, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/man-sentenced-for-114m-medicare-and-medicaid-fraud-scheme/
Attorney General Alan Wilson Announces Arrest Of Greenville Man Charged With Stealing From Vulnerable Adult,"December 13, 2023",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-arrest-of-greenville-man-charged-with-stealing-from-vulnerable-adult/
Clinic Office Manager Sentenced for $1.2M Pill Mill Scheme,"December 12, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/clinic-office-manager-sentenced-for-12m-pill-mill-scheme/
Carr Announces New Indictment in Clayton County for Trafficking a Disabled Adult,"December 12, 2023",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/carr-announces-new-indictment-in-clayton-county-for-trafficking-a-disabled-adult/
Company Selling Migraine Treatment Device Agrees to Resolve Alleged False Claims Act Violations,"December 11, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/company-selling-migraine-treatment-device-agrees-to-resolve-alleged-false-claims-act-violations/
Attorney General Marshall Announces Indictment of Former Director of Nursing for Montgomery Nursing Home,"December 8, 2023",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-marshall-announces-indictment-of-former-director-of-nursing-for-montgomery-nursing-home/
Attorney General Ken Paxton’s Medicaid Fraud Control Unit Secures 14-Year Prison Sentence for Home Health Fraudster and Over $11 Million in Restitution,"December 8, 2023",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-ken-paxtons-medicaid-fraud-control-unit-secures-14-year-prison-sentence-for-home-health-fraudster-and-over-11-million-in-restitution/
Pavion Company to Pay $1.75 Million to Resolve False Claims Act Allegations of Small Business Contracting Fraud,"December 7, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/pavion-company-to-pay-175-million-to-resolve-false-claims-act-allegations-of-small-business-contracting-fraud/
"Aurora Diagnostics Agreed to Pay $50,000 for Allegedly Violating the Civil Monetary Penalties Law by Paying Remuneration in the Form of Meals, Entertainment and Other Gifts in Exchange for Referrals","December 7, 2023",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/aurora-diagnostics-agreed-to-pay-50000-for-allegedly-violating-the-civil-monetary-penalties-law-by-paying-remuneration-in-the-form-of-meals-entertainment-and-other-gifts-in-exchange-for-referrals/
Attorney General Ellison charges three in largest-ever Medicaid fraud prosecution by AGO,"December 7, 2023",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-ellison-charges-three-in-largest-ever-medicaid-fraud-prosecution-by-ago/
Redondo Beach Woman Sentenced to 15 Years in Prison for Leading $24 Million Scam that Billed Medicare for Unneeded Wheelchair Fixes,"December 6, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/redondo-beach-woman-sentenced-to-15-years-in-prison-for-leading-24-million-scam-that-billed-medicare-for-unneeded-wheelchair-fixes/
Medical College of Wisconsin Agreed to Pay $2.2 Million for Allegedly Violating the Civil Monetary Penalties Law by Failing to Perform and Document Medical Direction Steps,"December 6, 2023",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/medical-college-of-wisconsin-agreed-to-pay-22-million-for-allegedly-violating-the-civil-monetary-penalties-law-by-failing-to-perform-and-document-medical-direction-steps/
Nursing Home Drug Dealer Pleads Guilty,"December 6, 2023",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/nursing-home-drug-dealer-pleads-guilty/
AG Campbell Indicts Springfield Medicaid Consultant For Stealing From Elderly Nursing Home Victims,"December 5, 2023",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/ag-campbell-indicts-springfield-medicaid-consultant-for-stealing-from-elderly-nursing-home-victims/
Doctor Charged in $14M Medicare and TRICARE Fraud Scheme,"December 4, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/doctor-charged-in-14m-medicare-and-tricare-fraud-scheme/
"Med First Agrees to Pay $1,450,000 to Resolve Health Care Fraud Allegations in South Carolina Clinic","December 4, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/med-first-agrees-to-pay-1450000-to-resolve-health-care-fraud-allegations-in-south-carolina-clinic/
"Hospital Executive And Three Texas Physicians To Pay Over $880,000 To Settle Kickback Allegations Involving Laboratory Testing","December 4, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/hospital-executive-and-three-texas-physicians-to-pay-over-880000-to-settle-kickback-allegations-involving-laboratory-testing/
Lab Owner Pleads Guilty to $1.7 Million COVID-19 Test Fraud Scheme,"December 1, 2023",COVID-19,https://oig.hhs.gov/fraud/enforcement/lab-owner-pleads-guilty-to-17-million-covid-19-test-fraud-scheme/
"Ag Moody Announces Arrest Of Services Provider For More Than $50,000 In Medicaid Provider Fraud","December 1, 2023",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/ag-moody-announces-arrest-of-services-provider-for-more-than-50000-in-medicaid-provider-fraud/
Tennessee Man Sentenced for Failure to Pay Child Support,"November 30, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/tennessee-man-sentenced-for-failure-to-pay-child-support/
Man Charged in $148M Medicare and Medicaid Fraud Scheme,"November 30, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/man-charged-in-148m-medicare-and-medicaid-fraud-scheme/
Physician Sentenced for $1.2M Pill Mill Scheme,"November 30, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/physician-sentenced-for-12m-pill-mill-scheme/
"Ascension Sacred Heart Pensacola Agreed to Pay $100,000 for Allegedly Violating the Civil Monetary Penalties Law by Paying Remuneration in the Form of Below Fair Market Value Personnel","November 30, 2023",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/ascension-sacred-heart-pensacola-agreed-to-pay-100000-for-allegedly-violating-the-civil-monetary-penalties-law-by-paying-remuneration-in-the-form-of-below-fair-market-value-personnel/
Queens Pharmacist Sentenced to 60 Months in Prison for Illegally Distributing Oxycodone and Filing False Tax Returns,"November 29, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/queens-pharmacist-sentenced-to-60-months-in-prison-for-illegally-distributing-oxycodone-and-filing-false-tax-returns/
Sleep disorder medical practice with clinics in California and Washington resolves allegations it overbilled government medical programs,"November 29, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/sleep-disorder-medical-practice-with-clinics-in-california-and-washington-resolves-allegations-it-overbilled-government-medical-programs/
"Caretaker Charged With Involuntary Manslaughter, Neglect For Failure To Renew Patient’s Medications Which Led To Fatal Seizure Episode","November 29, 2023",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/caretaker-charged-with-involuntary-manslaughter-neglect-for-failure-to-renew-patients-medications-which-led-to-fatal-seizure-episode/
Former Blackfeet Tribal operations manager suspected of stealing tribal COVID-19 relief funding arraigned on charges,"November 28, 2023",COVID-19,https://oig.hhs.gov/fraud/enforcement/former-blackfeet-tribal-operations-manager-suspected-of-stealing-tribal-covid-19-relief-funding-arraigned-on-charges/
"Philadelphia Pharmacy Pleads Guilty To More Than $500,000 In Fraudulent Insurance Claims As Part Of Prescription Medication Scam","November 28, 2023",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/philadelphia-pharmacy-pleads-guilty-to-more-than-500000-in-fraudulent-insurance-claims-as-part-of-prescription-medication-scam/
Telemedicine Nurse Practitioner Pleads Guilty to $7.8 Million Durable Medical Equipment Fraud Scheme,"November 27, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/telemedicine-nurse-practitioner-pleads-guilty-to-78-million-durable-medical-equipment-fraud-scheme/
Doctor and Wife Admit Genetic Testing Kickback and Bribery Scheme,"November 22, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/doctor-and-wife-admit-genetic-testing-kickback-and-bribery-scheme/
Attorney General James Announces Guilty Verdict of Physician Who Subjected Patients to Unnecessary and Invasive Tests,"November 22, 2023",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-james-announces-guilty-verdict-of-physician-who-subjected-patients-to-unnecessary-and-invasive-tests/
Neligh Woman Sentenced for Health Care Fraud,"November 20, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/neligh-woman-sentenced-for-health-care-fraud/
Attorney General Alan Wilson Announces Arrest Of Caregiver Accused Of Stealing From Disabled Residents,"November 20, 2023",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-arrest-of-caregiver-accused-of-stealing-from-disabled-residents/
Attorney General Alan Wilson Announces Easley Man Found Guilty Of Sex Crime Charges Against Nursing Home Resident,"November 20, 2023",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-easley-man-found-guilty-of-sex-crime-charges-against-nursing-home-resident/
Worcester Psychiatrist Convicted of Unlawful Distribution of Controlled Substances,"November 17, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/worcester-psychiatrist-convicted-of-unlawful-distribution-of-controlled-substances/
Doctor at L5 Pain Clinic Pleads Guilty to Illegal Drug Dispensing Conspiracy,"November 17, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/doctor-at-l5-pain-clinic-pleads-guilty-to-illegal-drug-dispensing-conspiracy/
"Pharmacy Owners and Doctor Convicted for $145M Health Care Fraud, Money Laundering, and Tax Evasion Scheme","November 17, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/pharmacy-owners-and-doctor-convicted-for-145m-health-care-fraud-money-laundering-and-tax-evasion-scheme/
AG Moody Announces Arrest Of Service Provider For Disabled Patients For Medicaid Fraud,"November 17, 2023",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/ag-moody-announces-arrest-of-service-provider-for-disabled-patients-for-medicaid-fraud/
Worcester-Based Home Care Company And Its Managers Indicted For $1.6 Million Medicaid Fraud Scheme,"November 17, 2023",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/worcester-based-home-care-company-and-its-managers-indicted-for-16-million-medicaid-fraud-scheme/
"Ag Henry Continues To Hold Medicaid Fraudsters Accountable With Recent Arrests, Convictions Involving Over $800k In False Billing","November 17, 2023",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/ag-henry-continues-to-hold-medicaid-fraudsters-accountable-with-recent-arrests-convictions-involving-over-800k-in-false-billing/
Maryland Man Sentenced to 9 Months in Prison for Attempted Witness Tampering in Relation to Healthcare Fraud Conspiracy,"November 16, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/maryland-man-sentenced-to-9-months-in-prison-for-attempted-witness-tampering-in-relation-to-healthcare-fraud-conspiracy/
Operator Of Durable Medical Equipment Companies Admits Role In $11 Million Dollar Kickback Scheme,"November 16, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/operator-of-durable-medical-equipment-companies-admits-role-in-11-million-dollar-kickback-scheme/
Chief Compliance Officer Sentenced For $50M Medicare Fraud Scheme,"November 16, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/chief-compliance-officer-sentenced-for-50m-medicare-fraud-scheme/
"Advent Home Health Agreed to Pay $263,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual","November 16, 2023",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/advent-home-health-agreed-to-pay-263000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/
"Continuing Care Center Agreed to pay $37,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services Provided by an Unlicensed Individual","November 16, 2023",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/continuing-care-center-agreed-to-pay-37000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-provided-by-an-unlicensed-individual/
"Providence Santa Rosa Memorial Hospital Agreed to Pay $20,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual","November 16, 2023",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/providence-santa-rosa-memorial-hospital-agreed-to-pay-20000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/
"Trans-Care Ambulance Agreed to Pay $239,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services Provided by an Unlicensed Individual","November 16, 2023",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/trans-care-ambulance-agreed-to-pay-239000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-provided-by-an-unlicensed-individual/
"California Skilled Nursing Facilities, Owner and Management Company Agree to $45.6 Million Consent Judgement to Settle Allegations of Kickbacks to Referring Physicians","November 15, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/california-skilled-nursing-facilities-owner-and-management-company-agree-to-456-million-consent-judgement-to-settle-allegations-of-kickbacks-to-referring-physicians/
Attorney General Bonta Announces Conviction In Placer County Elder Abuse Case,"November 15, 2023",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-bonta-announces-conviction-in-placer-county-elder-abuse-case/
Caregiver Found Guilty Of Defrauding Medicaid Of Roughly $45K By Billing For Caretaking Services In New Jersey While Working At Her Teaching Job In Michigan,"November 15, 2023",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/caregiver-found-guilty-of-defrauding-medicaid-of-roughly-45k-by-billing-for-caretaking-services-in-new-jersey-while-working-at-her-teaching-job-in-michigan/
Multi-Agency Working Group Focuses on Combating Health Care Fraud and Recovering Taxpayer Dollars Through Criminal and Civil Actions,"November 14, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/multi-agency-working-group-focuses-on-combating-health-care-fraud-and-recovering-taxpayer-dollars-through-criminal-and-civil-actions/
Three Men Sentenced for $54M Fraudulent Prescriptions Scheme,"November 14, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/three-men-sentenced-for-54m-fraudulent-prescriptions-scheme/
Florida Business Owners Plead Guilty For Their Role In Durable Medical Equipment Fraud Scheme,"November 13, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/florida-business-owners-plead-guilty-for-their-role-in-durable-medical-equipment-fraud-scheme/
Therapist’s Ex-Wife Sent To Prison For Defrauding Medicaid And Stealing Patient Information,"November 13, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/therapists-ex-wife-sent-to-prison-for-defrauding-medicaid-and-stealing-patient-information/
"Priyanshu1 and Shopsmart Pharmacy Agreed to Pay $400,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Prescriptions Without Sufficient Stock","November 13, 2023",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/priyanshu1-and-shopsmart-pharmacy-agreed-to-pay-400000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-prescriptions-without-sufficient-stock/
"Addiction Treatment Center Supervisor Admits to Participating in a Scheme to Defraud Federal, State, and Private Health Care Insurers","November 9, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/addiction-treatment-center-supervisor-admits-to-participating-in-a-scheme-to-defraud-federal-state-and-private-health-care-insurers/
Jury Convicts Hospice Owner for Defrauding Medicare,"November 8, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/jury-convicts-hospice-owner-for-defrauding-medicare/
"Marshville Pharmacy and Surgical Supply Agreed to Pay $125,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Non-Covered Supplies","November 8, 2023",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/marshville-pharmacy-and-surgical-supply-agreed-to-pay-125000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-non-covered-supplies/
Attorney General Moody Announces Arrest Of Speech-Language Pathologist Defrauding Florida Medicaid,"November 8, 2023",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-moody-announces-arrest-of-speech-language-pathologist-defrauding-florida-medicaid/
Attorney General Cameron Announces Guilty Plea Of Owensboro Woman For Medicaid Fraud,"November 8, 2023",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-cameron-announces-guilty-plea-of-owensboro-woman-for-medicaid-fraud/
Nurse Impostor Pleads Guilty To Identity Theft And Making False Medical Records,"November 7, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/nurse-impostor-pleads-guilty-to-identity-theft-and-making-false-medical-records/
Former San Antonio Health Services Employee Sentenced for Receiving Kickbacks,"November 7, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-san-antonio-health-services-employee-sentenced-for-receiving-kickbacks/
"Indictment of Joseph Bye, Sara Lapointe, and Kimberly Patterson","November 7, 2023",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/indictment-of-joseph-bye-sara-lapointe-and-kimberly-patterson/
Second Owner Of Fresno Sleep Clinic Pleads Guilty To Submitting Over $1.5 Million In Fraudulent Claims To Medicare And Medi-Cal For Sleep Studies,"November 6, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/second-owner-of-fresno-sleep-clinic-pleads-guilty-to-submitting-over-15-million-in-fraudulent-claims-to-medicare-and-medi-cal-for-sleep-studies/
Grosse Pointe Park Pharmacist Convicted On Drug Charges,"November 6, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/grosse-pointe-park-pharmacist-convicted-on-drug-charges/
"Doctor Pleads Guilty To Unlawful Drug Distribution, False Statement To Medicare, And Paycheck Protection Program Fraud","November 6, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/doctor-pleads-guilty-to-unlawful-drug-distribution-false-statement-to-medicare-and-paycheck-protection-program-fraud/
"Snellville Doctor Pays $225,000 To Resolve Allegations For Improper Billing","November 6, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/snellville-doctor-pays-225000-to-resolve-allegations-for-improper-billing/
Attorney General Alan Wilson Announces Edgefield Nursing Facility Housekeeper Charged With Stealing From Resident,"November 6, 2023",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-edgefield-nursing-facility-housekeeper-charged-with-stealing-from-resident/
Sharon Naylor Sentenced For Her Role In Operating Pill Mill,"November 3, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/sharon-naylor-sentenced-for-her-role-in-operating-pill-mill/
Graybill Medical Group Agreed to Pay $1 Million for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Incident-to Services Not Covered and for Service by Uncredentialed Providers,"November 3, 2023",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/graybill-medical-group-agreed-to-pay-1-million-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-incident-to-services-not-covered-and-for-service-by-uncredentialed-providers/
AG Moody’s MFCU Investigators Uncover Medicaid Fraud Scheme Impacting Thousands Leading To Arrest Of Florida Dentist And Husband,"November 3, 2023",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/ag-moodys-mfcu-investigators-uncover-medicaid-fraud-scheme-impacting-thousands-leading-to-arrest-of-florida-dentist-and-husband/
"North Chandler Place Agreed to Pay $86,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual","November 2, 2023",CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/north-chandler-place-agreed-to-pay-86000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/
Former Employee of Care Facility Sentenced for Criminal Negligence of a Vulnerable Adult,"November 2, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-employee-of-care-facility-sentenced-for-criminal-negligence-of-a-vulnerable-adult/
Owner of Indian Marketing Company Admits Role in $11.5 Million Health Care Fraud and Kickback Scheme,"November 2, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/owner-of-indian-marketing-company-admits-role-in-115-million-health-care-fraud-and-kickback-scheme/
Florida Laboratory Agrees to Pay Over $1.1 Million to Settle Kickback Allegations,"November 2, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/httpswwwjusticegovopaprflorida-laboratory-agrees-pay-over-11-million-settle-kickback-allegations/
Western PA. Nurse Charged With Additional Crimes For Administering Excessive Doses Of Insulin To 19 More Patients,"November 2, 2023",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/western-pa-nurse-charged-with-additional-crimes-for-administering-excessive-doses-of-insulin-to-19-more-patients/
Attorney General Alan Wilson announces Greenville Co. man charged with stealing from assisted living facility resident,"November 2, 2023",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-greenville-co-man-charged-with-stealing-from-assisted-living-facility-resident/
Bay Area Doctor Convicted Of Health Care Fraud And Kickback Scheme For Referrals To Medicare-Funded Home Health Services,"November 1, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/bay-area-doctor-convicted-of-health-care-fraud-and-kickback-scheme-for-referrals-to-medicare-funded-home-health-services/
Four Toledo Area Individuals Sentenced for Healthcare Fraud Scheme,"November 1, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/four-toledo-area-individuals-sentenced-for-healthcare-fraud-scheme/
Pelham Manor Man Charged With Health Care Fraud And Kickback Scheme,"October 31, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/pelham-manor-man-charged-with-health-care-fraud-and-kickback-scheme/
Drugmaker Nostrum and CEO Agree to Pay Up to $50 Million to Resolve Claims of Underpaying Rebates Owed Under Medicaid Drug Rebate Program,"October 30, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/drugmaker-nostrum-and-ceo-agree-to-pay-up-to-50-million-to-resolve-claims-of-underpaying-rebates-owed-under-medicaid-drug-rebate-program/
Veteran Pleads Guilty To Theft Of Government Money And Providing False Statements,"October 30, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/veteran-pleads-guilty-to-theft-of-government-money-and-providing-false-statements/
Drugmaker Nostrum and Its CEO Agree to Pay Up to $50 Million to Settle False Claims Act Claims for Underpaying Rebates Owed Under Medicaid Drug Rebate Program,"October 30, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/drugmaker-nostrum-and-its-ceo-agree-to-pay-up-to-50-million-to-settle-false-claims-act-claims-for-underpaying-rebates-owed-under-medicaid-drug-rebate-program/
Tampa Pain Management Physician Edward Lubin Agrees To Pay $1.5 Million To Settle False Claims Act Liability For Receiving Bribes And Writing Unnecessary Fentanyl Prescriptions,"October 27, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/tampa-pain-management-physician-edward-lubin-agrees-to-pay-15-million-to-settle-false-claims-act-liability-for-receiving-bribes-and-writing-unnecessary-fentanyl-prescriptions/
Farmington Hills Psychotherapy Clinic Owner Sentenced for Health Care Fraud Conspiracy Charges,"October 26, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/farmington-hills-psychotherapy-clinic-owner-sentenced-for-health-care-fraud-conspiracy-charges/
Suffolk Man Pleads Guilty to $2M Medicare Fraud,"October 26, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/suffolk-man-pleads-guilty-to-2m-medicare-fraud/
Putnam Community Medical Center Of North Florida Agrees To Pay One Million Dollars To Settle False Claims Liability Related To Its Former Sleep Center,"October 26, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/putnam-community-medical-center-of-north-florida-agrees-to-pay-one-million-dollars-to-settle-false-claims-liability-related-to-its-former-sleep-center/
Former Executive at Medicare Advantage Organization Charged for Multimillion-Dollar Medicare Fraud Scheme,"October 26, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-executive-at-medicare-advantage-organization-charged-for-multimillion-dollar-medicare-fraud-scheme/
Man Convicted of $55M Fraud Scheme,"October 26, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/man-convicted-of-55m-fraud-scheme/
Psychiatrist Convicted of Billing Medicare and Private Insurance Companies for Services Never Rendered,"October 25, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/psychiatrist-convicted-of-billing-medicare-and-private-insurance-companies-for-services-never-rendered/
Pharmacist and Clinic Owner Sentenced for $6M Pill Mill Scheme,"October 25, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/pharmacist-and-clinic-owner-sentenced-for-6m-pill-mill-scheme/
"Metairie Doctor Pleads Guilty in $5,600,000 Medicare Fraud Scheme","October 24, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/metairie-doctor-pleads-guilty-in-5600000-medicare-fraud-scheme/
"Chesapeake Hospital Authority Agreed to Pay $179,000 for Allegedly Violating the Civil Monetary Penalties Law by Paying Remuneration in the Form of Excessive Payments for Physician Services and Unsupported Payments for Medical Director Services","October 24, 2023",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/chesapeake-hospital-authority-agreed-to-pay-179000-for-allegedly-violating-the-civil-monetary-penalties-law-by-paying-remuneration-in-the-form-of-excessive-payments-for-physician-services-and-unsupported-payments-for-medical-director-services/
"PromptCare Home Infusion Agreed to Pay $966,000 for Allegedly Violating the Civil Monetary Penalties Law by Paying Remuneration in the Form of Commissions for Marketing Services","October 24, 2023",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/promptcare-home-infusion-agreed-to-pay-966000-for-allegedly-violating-the-civil-monetary-penalties-law-by-paying-remuneration-in-the-form-of-commissions-for-marketing-services/
"VIZIA Diagnostics Agreed to pay $701,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims that Identified the Incorrect Rendering Provider","October 24, 2023",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/vizia-diagnostics-agreed-to-pay-701000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-that-identified-the-incorrect-rendering-provider/
Nurse Practitioner Pleads Guilty to $6.1 Million Health Care Fraud Conspiracy in Idaho,"October 23, 2023",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/nurse-practitioner-pleads-guilty-to-61-million-health-care-fraud-conspiracy-in-idaho/
"Attorney General’s Medicaid Fraud and Vulnerable Victims Unit Secures a $932,000 Settlement with Baltimore Medical Supply Company","October 23, 2023",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-generals-medicaid-fraud-and-vulnerable-victims-unit-secures-a-932000-settlement-with-baltimore-medical-supply-company/
"Alexander Gerbakher, DMD, and Alexander Gerbakher, D.M.D., Corp. Agreed to Pay $65,000 and Be Excluded for Seven Years for Allegedly Violating the Civil Monetary Penalties Law by Submitting False Claims to Medicare","October 20, 2023",CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/alexander-gerbakher-dmd-and-alexander-gerbakher-dmd-corp-agreed-to-pay-65000-and-be-excluded-for-seven-years-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-false-claims-to-medicare/
