title,date,category,link
"Benedictine Living Community Crookston Agreed to Pay $247,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual","February 24, 2025",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/benedictine-living-community-crookston-agreed-to-pay-247000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/
Arizona Man Charged With Conspiracy To Commit Bank Fraud And Theft Of $1 Million In Federal Grants For HIV Programs,"February 21, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/arizona-man-charged-with-conspiracy-to-commit-bank-fraud-and-theft-of-1-million-in-federal-grants-for-hiv-programs/
"Ohio doctor agrees to pay $600,000 to settle False Claims Act allegations","February 21, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/ohio-doctor-agrees-to-pay-600000-to-settle-false-claims-act-allegations/
Saad Healthcare Agrees to Pay $3M to Settle False Claims Act Allegations That It Billed Medicare for Ineligible Hospice Patients,"February 21, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/saad-healthcare-agrees-to-pay-3m-to-settle-false-claims-act-allegations-that-it-billed-medicare-for-ineligible-hospice-patients/
"Baptist Medical Center South Agreed to Pay $290,000 for Allegedly Violating Patient Dumping Statute by Failing to Provide Appropriate Medical Screening Examinations and Stabilizing Treatment","February 20, 2025",CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/baptist-medical-center-south-agreed-to-pay-290000-for-allegedly-violating-patient-dumping-statute-by-failing-to-provide-appropriate-medical-screening-examinations-and-stabilizing-treatment/
Owner of Durable Medical Equipment Companies Charged in Nearly $30 Million Fraud Scheme,"February 20, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/owner-of-durable-medical-equipment-companies-charged-in-nearly-30-million-fraud-scheme/
Law Enforcement Seizes Range Rover and Over $4 Million in Health Care Fraud Proceeds from Miami Couple Charged with Health Care Fraud and Money Laundering Conspiracies,"February 20, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/law-enforcement-seizes-range-rover-and-over-4-million-in-health-care-fraud-proceeds-from-miami-couple-charged-with-health-care-fraud-and-money-laundering-conspiracies/
Columbia Physician Pleads Guilty to False Statements to Medicare,"February 20, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/columbia-physician-pleads-guilty-to-false-statements-to-medicare/
"Former Taney County Official Pleads Guilty to Stealing $260,000","February 20, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-taney-county-official-pleads-guilty-to-stealing-260000/
Vice President of Health Care Software and Services Company Pleads Guilty to $1B Health Care Fraud Conspiracy,"February 20, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/vice-president-of-health-care-software-and-services-company-pleads-guilty-to-1b-health-care-fraud-conspiracy/
"South Pacific Rehabilitation Services Agreed to Pay $201,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual","February 20, 2025",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/south-pacific-rehabilitation-services-agreed-to-pay-201000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/
Suburban Chicago Man Sentenced To More Than Five Years In Prison For $1.5 Million COVID-Relief Fraud,"February 19, 2025",COVID-19,https://oig.hhs.gov/fraud/enforcement/suburban-chicago-man-sentenced-to-more-than-five-years-in-prison-for-15-million-covid-relief-fraud/
St. Louis Area Doctor Sentenced for Health Care Fraud,"February 19, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/st-louis-area-doctor-sentenced-for-health-care-fraud/
President of Insurance Brokerage Firm and CEO of Marketing Company Charged in $161M Affordable Care Act Enrollment Fraud Scheme,"February 19, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/president-of-insurance-brokerage-firm-and-ceo-of-marketing-company-charged-in-161m-affordable-care-act-enrollment-fraud-scheme/
Med One Mobile and Gregory Wireman Agreed to Be Excluded for 5 Years for Submitting Claims for Medically Unnecessary Ambulance Transportation Services,"February 14, 2025",CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/med-one-mobile-and-gregory-wireman-agreed-to-be-excluded-for-5-years-for-submitting-claims-for-medically-unnecessary-ambulance-transportation-services/
Carbon County Man Pleads No Contest to Posing as Medical Professional to Prescribe Medications and Provide Care to Obtain Insurance Reimbursements,"February 14, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/carbon-county-man-pleads-no-contest-to-posing-as-medical-professional-to-prescribe-medications-and-provide-care-to-obtain-insurance-reimbursements/
"York County Couple — Exercising Power of Attorney and Primary Caregiving Responsibilities — Charged with Neglect, Financial Exploitation of Elderly Woman","February 14, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/york-county-couple-exercising-power-of-attorney-and-primary-caregiving-responsibilities-charged-with-neglect-financial-exploitation-of-elderly-woman/
Two Pharmacists Convicted for Illegal Distribution of Oxycodone,"February 12, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/two-pharmacists-convicted-for-illegal-distribution-of-oxycodone/
AG Fitch Announces Settlement in Medicaid Fraud Case,"February 12, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/ag-fitch-announces-settlement-in-medicaid-fraud-case/
Doctor Convicted of $24M Medicare Fraud Scheme,"February 11, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/doctor-convicted-of-24m-medicare-fraud-scheme/
Attorney General Marshall Announces the Conviction of Former Birmingham Nurse for Theft of Opioid Tablets,"February 11, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-marshall-announces-the-conviction-of-former-birmingham-nurse-for-theft-of-opioid-tablets/
"Glens Falls Hospital Agreed to Pay $204,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services that Did Not Meet Coverage Requirements","February 7, 2025",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/glens-falls-hospital-agreed-to-pay-204000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-that-did-not-meet-coverage-requirements/
"Four Pharmacists Sentenced for Roles in $13M Medicare, Medicaid, and Private Insurer Fraud Conspiracy","February 6, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/four-pharmacists-sentenced-for-roles-in-13m-medicare-medicaid-and-private-insurer-fraud-conspiracy/
Louisiana Doctor Sentenced for Illegally Distributing Over 1.8M Doses of Opioids in $5.4M Health Care Fraud Scheme,"February 6, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/louisiana-doctor-sentenced-for-illegally-distributing-over-18m-doses-of-opioids-in-54m-health-care-fraud-scheme/
"Florida Attorney General’s Office Secures More Than $350,000 for Florida Medicaid from Pharmaceutical Company Over Kickback Allegations","February 6, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/florida-attorney-generals-office-secures-more-than-350000-for-florida-medicaid-from-pharmaceutical-company-over-kickback-allegations/
"Pain Medical Associates Agreed to Pay $33,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Incident-to Services Without Proper Supervision","February 5, 2025",CIA Reportable Events,https://oig.hhs.gov/fraud/enforcement/pain-medical-associates-agreed-to-pay-33000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-incident-to-services-without-proper-supervision/
Attorney General Bonta: Owner of Santa Cruz Residential Care Home Arrested for Elder Abuse,"February 5, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-bonta-owner-of-santa-cruz-residential-care-home-arrested-for-elder-abuse/
Florida Attorney General’s Office Secures More Than $2.3 Million in Multistate Action from Pfizer-Owned Biohaven Pharmaceutical Company,"February 5, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/florida-attorney-generals-office-secures-more-than-23-million-in-multistate-action-from-pfizer-owned-biohaven-pharmaceutical-company/
Attorney General James Secures Prison Sentence for Serial Health Care Fraudster,"February 5, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-james-secures-prison-sentence-for-serial-health-care-fraudster/
Pharmacy LLC Agrees To Resolve False Claims Act Allegations Of Billing For Drugs Not Dispensed,"February 4, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/pharmacy-llc-agrees-to-resolve-false-claims-act-allegations-of-billing-for-drugs-not-dispensed/
Man Pleads Guilty to Conspiracy to Launder Money in Connection with $100 Million Health Care Fraud Scheme,"February 4, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/man-pleads-guilty-to-conspiracy-to-launder-money-in-connection-with-100-million-health-care-fraud-scheme/
"Clinical Pathology Laboratories Agreed to Pay $352,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual","February 4, 2025",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/clinical-pathology-laboratories-agreed-to-pay-352000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/
AG's Office Secures Guilty Plea From Stoughton Man For Prescription Fraud And Illegal Distribution Scheme,"February 4, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/ags-office-secures-guilty-plea-from-stoughton-man-for-prescription-fraud-and-illegal-distribution-scheme/
Hartford Substance Abuse Counselor Sentenced to 27 Months in Prison for Health Care Fraud Schemes,"February 3, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/hartford-substance-abuse-counselor-sentenced-to-27-months-in-prison-for-health-care-fraud-schemes/
Man Pleads Guilty in Connection with $17M Medicare Hospice Fraud and Home Health Care Fraud Schemes,"February 3, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/man-pleads-guilty-in-connection-with-17m-medicare-hospice-fraud-and-home-health-care-fraud-schemes/
"Attorney General Bonta Announces Nearly $60 Million Settlement Against Pfizer-Owned Pharmaceutical Holding Company, Biohaven","February 3, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-bonta-announces-nearly-60-million-settlement-against-pfizer-owned-pharmaceutical-holding-company-biohaven/
AG Campbell Secures $1.4 Million for MassHealth Over Kickback Allegations Against National Pharmaceutical Company,"February 3, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/ag-campbell-secures-14-million-for-masshealth-over-kickback-allegations-against-national-pharmaceutical-company/
AG Nessel Secures $59.7 Million Settlement Over Kickback Allegations Against Pfizer Subsidiary,"February 3, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/ag-nessel-secures-597-million-settlement-over-kickback-allegations-against-pfizer-subsidiary/
LiveCare Inc. Agrees To Pay Up To $4.9 Million To Resolve False Claims Act Allegations,"January 31, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/livecare-inc-agrees-to-pay-up-to-49-million-to-resolve-false-claims-act-allegations/
Arizona Couple Pleads Guilty to $1.2B Health Care Fraud,"January 31, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/arizona-couple-pleads-guilty-to-12b-health-care-fraud/
Springfield Medicaid Consultant Pleads Guilty To Stealing From Elderly Nursing Home Victims,"January 31, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/springfield-medicaid-consultant-pleads-guilty-to-stealing-from-elderly-nursing-home-victims/
"Attorney General Alan Wilson announces Anderson man charged with stealing almost $120,000 from vulnerable adult","January 31, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-anderson-man-charged-with-stealing-almost-120000-from-vulnerable-adult/
Waterford Woman Sentenced to 2 Years in Prison for Stealing from Addiction and Mental Health Services Nonprofit,"January 29, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/waterford-woman-sentenced-to-2-years-in-prison-for-stealing-from-addiction-and-mental-health-services-nonprofit/
Attorney General Labrador Announces Settlement in Medicaid Fraud Case,"January 29, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-labrador-announces-settlement-in-medicaid-fraud-case/
"Attorney General Raoul Charges Former Community-Based Home Caregiver With Abuse, Neglect Of Elderly Patient","January 29, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-raoul-charges-former-community-based-home-caregiver-with-abuse-neglect-of-elderly-patient/
Woman Sentenced for Fraud Scheme Involving Claims for Unnecessary Respiratory Tests Submitted with COVID-19 Tests,"January 28, 2025",COVID-19,https://oig.hhs.gov/fraud/enforcement/woman-sentenced-for-fraud-scheme-involving-claims-for-unnecessary-respiratory-tests-submitted-with-covid-19-tests/
"Greensboro Laboratory and Owner Agree to Pay $850,000 to Resolve Allegations of False Claims for Urine Drug Testing","January 28, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/greensboro-laboratory-and-owner-agree-to-pay-850000-to-resolve-allegations-of-false-claims-for-urine-drug-testing/
"Philadelphia Mental Health Clinic and Its Psychiatrist Owner Agree to Pay $900,000 to Resolve False Claims Act Lawsuit for Alleged Medicaid Fraud","January 27, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/philadelphia-mental-health-clinic-and-its-psychiatrist-owner-agree-to-pay-900000-to-resolve-false-claims-act-lawsuit-for-alleged-medicaid-fraud/
Greenfield Man Sentenced to 15 Months’ Imprisonment for Paying Healthcare Kickbacks,"January 27, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/greenfield-man-sentenced-to-15-months-imprisonment-for-paying-healthcare-kickbacks/
Florida Attorney General’s Office’s Medicaid Fraud Control Unit Secures More Than $2.2 Million for Florida Medicaid from Inpatient Behavioral Health Company,"January 27, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/florida-attorney-generals-offices-medicaid-fraud-control-unit-secures-more-than-22-million-for-florida-medicaid-from-inpatient-behavioral-health-company/
Madison Man Sentenced to 37 Months in Prison for Conspiracy to Defraud the United States,"January 24, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/madison-man-sentenced-to-37-months-in-prison-for-conspiracy-to-defraud-the-united-states/
Corporation and Former Chief Executive Officer Plead Guilty to Health Care Fraud and Tax Conspiracy,"January 24, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/corporation-and-former-chief-executive-officer-plead-guilty-to-health-care-fraud-and-tax-conspiracy/
Pfizer Agrees to Pay Nearly 60M to Resolve False Claims Allegations Relating to Improper Physician Payments by Subsidiary,"January 24, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/pfizer-agrees-to-pay-nearly-60m-to-resolve-false-claims-allegations-relating-to-improper-physician-payments-by-subsidiary/
"Wellstar Health System Agreed to Pay $468,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services Provided by an Unlicensed Individual","January 24, 2025",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/wellstar-health-system-agreed-to-pay-468000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-provided-by-an-unlicensed-individual/
"Walnut Creek Nursing Center Agreed to Pay $243,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual","January 23, 2025",CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/walnut-creek-nursing-center-agreed-to-pay-243000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/
Operator of Home Health Care Company Sentenced to 12 Years in Prison for Multimillion Dollar Health Care Fraud Scheme,"January 23, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/operator-of-home-health-care-company-sentenced-to-12-years-in-prison-for-multimillion-dollar-health-care-fraud-scheme/
"C.R. Bard, Inc. and Affiliates Pay $17 Million to Resolve Allegations of Healthcare Kickbacks","January 23, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/cr-bard-inc-and-affiliates-pay-17-million-to-resolve-allegations-of-healthcare-kickbacks/
Two Charged with Defrauding Connecticut’s Medicaid Program,"January 17, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/two-charged-with-defrauding-connecticuts-medicaid-program/
Justice Department Files Nationwide Lawsuit Alleging Walgreens Knowingly Filled Millions of Prescriptions that Lacked a Legitimate Medical Purpose,"January 17, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/justice-department-files-nationwide-lawsuit-alleging-walgreens-knowingly-filled-millions-of-prescriptions-that-lacked-a-legitimate-medical-purpose/
"Health Care Plan Agrees to Pay Over $500,000 As Part of Self-Disclosure of Potential False Claims Act Violations","January 17, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/health-care-plan-agrees-to-pay-over-500000-as-part-of-self-disclosure-of-potential-false-claims-act-violations/
Pharmacist Guilty In $110 Million Dollar Kickback Conspiracy,"January 17, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/pharmacist-guilty-in-110-million-dollar-kickback-conspiracy/
"BioReference Health and OPKO Health Agree to Pay $704,349 to Settle Allegations that they Billed the Government for Medically Unnecessary Blood Tests","January 17, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/bioreference-health-and-opko-health-agree-to-pay-704349-to-settle-allegations-that-they-billed-the-government-for-medically-unnecessary-blood-tests/
"Attorney General Alan Wilson announces Lexington man charged with stealing more than $143,000 from vulnerable adult","January 17, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-lexington-man-charged-with-stealing-more-than-143000-from-vulnerable-adult/
Lascassas Woman Charged with Stealing from Vulnerable Adult,"January 17, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/lascassas-woman-charged-with-stealing-from-vulnerable-adult/
"Action Recovery Group Agreed to Pay $73,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual","January 16, 2025",CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/action-recovery-group-agreed-to-pay-73000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/
"City of Livingston Agreed to Pay $116,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting False Claims for Emergency Ambulance Services","January 16, 2025",CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/city-of-livingston-agreed-to-pay-116000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-false-claims-for-emergency-ambulance-services/
Two Iowa Healthcare Practitioners Settle Allegations for False Submission of Claims to Federal Healthcare Programs in Telemedicine Scheme,"January 16, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/two-iowa-healthcare-practitioners-settle-allegations-for-false-submission-of-claims-to-federal-healthcare-programs-in-telemedicine-scheme/
"Carr Reaches Settlement with Acadia Healthcare, Secures Over $1 Million for Georgia Medicaid Program","January 16, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/carr-reaches-settlement-with-acadia-healthcare-secures-over-1-million-for-georgia-medicaid-program/
"CHARGES: Owner of Erie County Shared-Care Homes Neglected Residents, Falsified Paperwork, and Defrauded Medicaid","January 16, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/charges-owner-of-erie-county-shared-care-homes-neglected-residents-falsified-paperwork-and-defrauded-medicaid/
Two People Federally Charged With Stealing Millions Of Dollars From The Oglala Sioux Tribe,"January 15, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/two-people-federally-charged-with-stealing-millions-of-dollars-from-the-oglala-sioux-tribe/
Texas Hospital CEO Sentenced To Federal Prison For Role In Health Care Kickback Conspiracy,"January 15, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/texas-hospital-ceo-sentenced-to-federal-prison-for-role-in-health-care-kickback-conspiracy/
Oakton Doctor Pleads Guilty To Running Pill Mill,"January 15, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/oakton-doctor-pleads-guilty-to-running-pill-mill/
Doctor Sentenced for $70M Medicare Fraud Scheme,"January 15, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/doctor-sentenced-for-70m-medicare-fraud-scheme/
"Pacific Eye Institute Agreed to Pay $599,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services Not Provided as Claimed or Not Medically Necessary","January 15, 2025",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/pacific-eye-institute-agreed-to-pay-599000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-not-provided-as-claimed-or-not-medically-necessary/
New Jersey Pharmacy Agrees to Resolve False Claims Act Allegations for Billing for Drugs Not Dispensed,"January 14, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/new-jersey-pharmacy-agrees-to-resolve-false-claims-act-allegations-for-billing-for-drugs-not-dispensed/
AG Nessel Reaches $19.85 Million Multistate Medicaid Fraud Settlement with Behavioral Health Facility,"January 14, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/ag-nessel-reaches-1985-million-multistate-medicaid-fraud-settlement-with-behavioral-health-facility/
Army Veteran Sentenced to Federal Prison For Over Three-Quarter Million Dollar Benefit Fraud,"January 13, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/army-veteran-sentenced-to-federal-prison-for-over-three-quarter-million-dollar-benefit-fraud/
Edinburg Doctor And Son Guilty In Kickback Conspiracy,"January 13, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/edinburg-doctor-and-son-guilty-in-kickback-conspiracy/
The United States And State Of North Carolina File False Claims Act Complaint Against Durable Medical Equipment Supplier,"January 13, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/the-united-states-and-state-of-north-carolina-file-false-claims-act-complaint-against-durable-medical-equipment-supplier/
Attorney General’s Office Announces Sentencing of  Las Vegas Couple and Behavioral Health Company for Medicaid Fraud,"January 13, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-generals-office-announces-sentencing-of-las-vegas-couple-and-behavioral-health-company-for-medicaid-fraud/
Attorney General Jeff Jackson Files $5.5 Million Medicaid Fraud Lawsuit,"January 13, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-jeff-jackson-files-55-million-medicaid-fraud-lawsuit/
Former Senior Partner at McKinsey & Company Pleads Guilty,"January 10, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-senior-partner-at-mckinsey-company-pleads-guilty/
Former Senior Partner at McKinsey & Company Pleads Guilty,"January 10, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/former-senior-partner-at-mckinsey-company-pleads-guilty-1/
California Man Admits Role In $10 Million Health Care Kickback Scheme,"January 8, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/california-man-admits-role-in-10-million-health-care-kickback-scheme/
Chesapeake Hospital Indicted For Healthcare Fraud Involving Unnecessary Surgical Procedures,"January 8, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/chesapeake-hospital-indicted-for-healthcare-fraud-involving-unnecessary-surgical-procedures/
Former Charleston Physician Sentenced to Prison for Federal Opioid Crime,"January 8, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-charleston-physician-sentenced-to-prison-for-federal-opioid-crime/
Attorney General Mayes Announces Sentencing In Small Business Administration Fraud,"January 8, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-mayes-announces-sentencing-in-small-business-administration-fraud/
"Felisha Cunningham Sentenced For Medicaid Fraud, Theft","January 8, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/felisha-cunningham-sentenced-for-medicaid-fraud-theft/
"Attorney General James Puts Medical Transportation Industry On Notice, Announces New Actions To Stop Ongoing Fraud","January 8, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-james-puts-medical-transportation-industry-on-notice-announces-new-actions-to-stop-ongoing-fraud/
Connecticut Dentist Pays More than $600K to Settle False Claims Allegations,"January 7, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/connecticut-dentist-pays-more-than-600k-to-settle-false-claims-allegations/
Owner of Addiction Treatment Chain That Billed for Recovery Services Not Provided Sentenced to More Than Eight Years in Federal Prison in Health Care Fraud Conspiracy,"January 7, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/owner-of-addiction-treatment-chain-that-billed-for-recovery-services-not-provided-sentenced-to-more-than-eight-years-in-federal-prison-in-health-care-fraud-conspiracy/
Pharmacy Owner Sentenced to Imprisonment for Health Care Fraud,"January 7, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/pharmacy-owner-sentenced-to-imprisonment-for-health-care-fraud/
"Marketers and Healthcare Providers in Texas, Virginia and South Carolina Agree to Pay Over $1.1M to Settle Laboratory Kickback Allegations","January 7, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/marketers-and-healthcare-providers-in-texas-virginia-and-south-carolina-agree-to-pay-over-11m-to-settle-laboratory-kickback-allegations/
"Wabash General Hospital Agreed to Pay $107,000 for Allegedly Violating the Civil Monetary Penalties Law by Submitting Claims for Services Provided by an Unlicensed Individual","January 7, 2025",Fraud Self-Disclosures,https://oig.hhs.gov/fraud/enforcement/wabash-general-hospital-agreed-to-pay-107000-for-allegedly-violating-the-civil-monetary-penalties-law-by-submitting-claims-for-services-provided-by-an-unlicensed-individual/
"Adriana Strimbu, DPM Agreed to Pay $41,000 for Allegedly Violating the Civil Monetary Penalties Law by Employing an Excluded Individual","January 6, 2025",CMP and Affirmative Exclusions,https://oig.hhs.gov/fraud/enforcement/adriana-strimbu-dpm-agreed-to-pay-41000-for-allegedly-violating-the-civil-monetary-penalties-law-by-employing-an-excluded-individual/
Bothell Biopharmaceutical Company Pays $4 Million To Resolve Allegations It Relied On Falsified Academic Papers To Obtain Federal Grant,"January 6, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/bothell-biopharmaceutical-company-pays-4-million-to-resolve-allegations-it-relied-on-falsified-academic-papers-to-obtain-federal-grant/
Athira Pharma Inc. Agrees to Pay $4M to Settle False Claims Act Allegations Related to Scientific Research Misconduct,"January 6, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/athira-pharma-inc-agrees-to-pay-4m-to-settle-false-claims-act-allegations-related-to-scientific-research-misconduct/
Attorney General Alan Wilson Announces Camden Woman Charged With Stealing Thousands From Vulnerable Adult,"January 6, 2025",State Enforcement Agencies,https://oig.hhs.gov/fraud/enforcement/attorney-general-alan-wilson-announces-camden-woman-charged-with-stealing-thousands-from-vulnerable-adult/
Operations Manager Pleads Guilty to Kickback Scheme,"January 3, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/operations-manager-pleads-guilty-to-kickback-scheme/
"Telehealth Company Pays $386,000 to Resolve Allegations of Overbilling for Medicare Telehealth Time","January 3, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/telehealth-company-pays-386000-to-resolve-allegations-of-overbilling-for-medicare-telehealth-time/
Physicians Toxicology Laboratory And Its Owners To Pay $4.425 Million To Settle Allegations Of Unnecessary Drug Testing,"January 3, 2025",Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/physicians-toxicology-laboratory-and-its-owners-to-pay-4425-million-to-settle-allegations-of-unnecessary-drug-testing/
